ID,model_ID,year,price,mileage,tax,mpg,engineSize,transmission_ID,fuel_ID,Brand
23005,25,2019,24499,14525,145,44.09999847,1.5,4,5,Merc
23006,31,2019,24649,15289,145,72.40000153,2,4,1,Merc
23007,37,2019,32199,9351,145,42.20000076,2.099999905,4,1,Merc
23008,25,2019,25949,12582,145,61.40000153,2,4,1,Merc
23009,31,2019,35149,13047,145,48.70000076,3,4,1,Merc
23010,25,2019,27699,5426,145,45.59999847,1.5,4,5,Merc
23011,31,2019,42999,2175,145,32.09999847,3,4,5,Merc
23012,31,2017,19899,13959,20,72.40000153,2,4,1,Merc
23013,13,2019,31699,1000,145,35.79999924,2,4,5,Merc
23014,25,2019,32959,1000,145,64.19999695,2,4,1,Merc
23015,13,2019,22339,1000,145,65.69999695,1.5,4,1,Merc
23016,13,2019,24508,1000,145,65.69999695,1.5,4,1,Merc
23017,25,2019,31999,1000,145,61.40000153,2,4,1,Merc
23018,37,2019,75729,1000,145,22.10000038,4,4,5,Merc
23019,31,2019,35659,1000,145,42.79999924,2,4,1,Merc
23020,31,2019,33899,5698,145,57.70000076,2,4,1,Merc
23021,13,2019,24299,3389,145,28.5,2,4,5,Merc
23022,37,2019,67539,1000,145,22.39999962,4,4,5,Merc
23023,25,2019,29699,4279,145,56.5,2,4,1,Merc
23024,25,2019,32699,1362,145,56.5,2,4,1,Merc
23025,31,2019,40999,1000,135,188.3000031,2,4,3,Merc
23026,31,2019,41519,1000,145,42.79999924,3,4,1,Merc
23027,25,2019,32069,1000,145,64.19999695,2,4,1,Merc
23028,69,2019,63099,1803,145,52.29999924,3,1,1,Merc
23029,24,2017,13899,19842,145,68.90000153,1.5,2,1,Merc
23030,25,2018,25999,11258,145,65.69999695,2.099999905,4,1,Merc
23031,31,2019,28149,3242,145,39.79999924,2,4,5,Merc
23032,25,2019,32999,2373,145,54.29999924,2,4,1,Merc
23033,35,2018,22049,14235,145,67.30000305,2.099999905,1,1,Merc
23034,24,2019,22099,14022,145,45.59999847,1.299999952,4,5,Merc
23035,35,2019,25399,2058,145,64.19999695,2.099999905,4,1,Merc
23036,24,2019,22299,12410,145,45.59999847,1.299999952,1,5,Merc
23037,24,2019,22499,10478,145,45.59999847,1.299999952,4,5,Merc
23038,25,2019,42999,8751,145,29.10000038,3,4,5,Merc
23039,25,2019,41699,7400,145,30.39999962,3,4,5,Merc
23040,31,2019,44399,7805,145,32.5,3,4,5,Merc
23041,35,2014,16249,18086,30,62.79999924,2.099999905,4,1,Merc
23042,31,2019,45799,1000,145,48.70000076,3,4,1,Merc
23043,75,2017,38799,14000,145,36.70000076,3,4,5,Merc
23044,39,2018,43999,8963,145,37.20000076,3,4,1,Merc
23045,25,2017,24289,13716,30,65.69999695,2.099999905,4,1,Merc
23046,13,2015,10795,61626,20,72.40000153,1.5,2,1,Merc
23047,38,2016,27999,32068,200,47.90000153,2.099999905,4,1,Merc
23048,25,2017,19499,25241,145,64.19999695,2.099999905,4,1,Merc
23049,31,2016,18649,12523,145,56.5,2.099999905,4,1,Merc
23050,31,2018,35749,12363,145,33.59999847,3,4,5,Merc
23051,31,2016,18199,26905,30,65.69999695,2,4,1,Merc
23052,31,2019,36479,5040,145,48.70000076,3,4,1,Merc
23053,25,2019,34399,3414,145,44.09999847,2,4,5,Merc
23054,25,2019,25699,15251,145,61.40000153,2,4,1,Merc
23055,25,2019,29799,8959,145,57.70000076,2,4,1,Merc
23056,75,2018,49999,8804,145,31.39999962,4.699999809,4,5,Merc
23057,31,2019,43199,5686,145,38.20000076,3,4,1,Merc
23058,35,2018,21899,10552,145,67.30000305,2.099999905,4,1,Merc
23059,25,2018,22549,16961,145,46.29999924,1.5,4,5,Merc
23060,24,2019,25699,12090,145,54.29999924,2,4,1,Merc
23061,26,2015,18899,13120,20,62.79999924,2.099999905,4,1,Merc
23062,31,2019,41449,8115,145,47.09999847,3,4,1,Merc
23063,25,2019,43199,9551,145,29.10000038,3,4,5,Merc
23064,25,2019,41499,8116,145,30.39999962,3,4,5,Merc
23065,31,2018,51200,4500,145,30.10000038,4,4,5,Merc
23066,37,2019,45299,2792,145,40.40000153,2,4,1,Merc
23067,75,2019,79299,1776,145,28,5.5,4,5,Merc
23068,25,2016,21099,9272,20,67.30000305,2.099999905,4,1,Merc
23069,35,2016,19799,20877,125,56.5,2.099999905,4,1,Merc
23070,38,2017,39599,15575,145,32.79999924,3,4,5,Merc
23071,26,2016,16849,45000,20,67.30000305,2.099999905,4,1,Merc
23072,25,2017,16995,19372,145,64.19999695,1.600000024,4,1,Merc
23073,35,2015,14595,72300,125,55.40000153,2.099999905,4,1,Merc
23074,30,2015,16750,68353,160,52.29999924,3,4,1,Merc
23075,25,2013,9500,75572,145,54.29999924,2.099999905,4,1,Merc
23076,31,2014,16299,27000,165,47.90000153,3,4,1,Merc
23077,13,2019,25399,4059,145,28.5,2,4,5,Merc
23078,25,2019,26799,2498,145,45.59999847,1.5,4,5,Merc
23079,13,2019,23299,975,145,67.30000305,1.5,4,1,Merc
23080,38,2019,53199,2504,145,32.79999924,3,4,1,Merc
23081,25,2019,41999,10104,145,30.39999962,3,4,5,Merc
23082,30,2019,44799,7101,145,47.90000153,2.900000095,4,1,Merc
23083,31,2019,25599,9953,145,72.40000153,2,4,1,Merc
23084,13,2018,18699,1502,145,65.69999695,1.5,4,1,Merc
23085,25,2019,20599,13004,145,61.40000153,2,4,1,Merc
23086,82,2017,35699,7833,145,45.59999847,2.200000048,1,1,Merc
23087,37,2019,29999,10420,145,56.5,2.099999905,4,1,Merc
23088,31,2019,37899,5629,145,48.70000076,3,4,1,Merc
23089,31,2019,24849,13898,145,72.40000153,2,4,1,Merc
23090,31,2019,25149,10652,145,72.40000153,2,4,1,Merc
23091,25,2019,29099,3820,145,64.19999695,2,4,1,Merc
23092,31,2018,32049,8053,145,41.5,3,4,1,Merc
23093,25,2018,25049,6550,145,60.09999847,1.600000024,4,1,Merc
23094,25,2018,24499,9304,145,60.09999847,1.600000024,4,1,Merc
23095,31,2019,24999,10424,145,72.40000153,2,4,1,Merc
23096,24,2019,22299,11605,145,45.59999847,1.299999952,4,5,Merc
23097,25,2019,25499,16226,145,61.40000153,2,4,1,Merc
23098,13,2019,22899,4042,145,56.5,2,4,1,Merc
23099,13,2019,21999,4004,145,65.69999695,1.5,4,1,Merc
23100,13,2019,24490,2476,145,65.69999695,1.5,1,1,Merc
23101,24,2019,26199,3999,145,55.40000153,2,4,1,Merc
23102,35,2015,19699,10651,125,55.40000153,2.099999905,4,1,Merc
23103,31,2019,40999,1000,135,188.3000031,2,4,3,Merc
23104,13,2019,33889,1000,145,36.70000076,2,4,5,Merc
23105,31,2019,43599,3664,145,32.09999847,3,4,5,Merc
23106,25,2018,28699,5234,145,57.70000076,2,4,1,Merc
23107,75,2019,32999,100,145,47.09999847,2,4,5,Merc
23108,75,2019,70999,420,145,27.20000076,4.699999809,1,5,Merc
23109,35,2017,20049,13986,125,56.5,2.099999905,4,1,Merc
23110,13,2017,15949,14632,145,68.90000153,1.5,2,1,Merc
23111,25,2017,18049,41005,30,61.40000153,2.099999905,4,1,Merc
23112,13,2019,25799,2940,145,56.5,2,4,1,Merc
23113,31,2017,21799,28078,145,65.69999695,2,4,1,Merc
23114,25,2019,27499,3462,145,60.09999847,1.600000024,4,1,Merc
23115,25,2019,28599,901,145,61.40000153,2,4,1,Merc
23116,25,2019,31599,3784,145,55.40000153,2,4,1,Merc
23117,25,2019,23799,12946,145,61.40000153,2,4,1,Merc
23118,13,2019,21099,5475,145,53.29999924,1.299999952,4,5,Merc
23119,37,2019,31849,12382,145,42.20000076,2.099999905,4,1,Merc
23120,13,2019,19849,7149,145,68.90000153,1.5,4,1,Merc
23121,24,2019,21749,12717,145,45.59999847,1.299999952,4,5,Merc
23122,24,2019,27249,7060,145,54.29999924,2,4,1,Merc
